Meeting Name,Agenda,Attendees,Date,Has Cluely Transcript,Has Final Transcript,Has Notion Transcript,Has Teams Transcript,Meeting Type,Merged to Feed,Mtg #,Organizer,Priority,Processing,Status
IP Corporation — CIO Interview,"CIO interview with Pat Stiller, Matt Francis, and Eudias Kifern regarding Data Architecture / MDM Consultant role. Confirm scope, timeline, and contracting details.","Client, External","October 10, 2025 5:00 PM (UTC)",No,No,No,No,Interview,No,1,"Steve ",High,Processed,Completed
IP Corp — Data Architecture Review & DB Systems — 2025-12-09,"Data architecture review, database systems deep dive, schema inventory discussion",Internal,"December 9, 2025",Yes,No,Yes,No,Team Meeting,No,4,"Steve ",Medium,Processed,Completed
Database Architecture Overview & AI Toolbox Discussion,"SQL Server database walkthrough, M3 ERP database structure, Fabric Toolbox AI demo, database administration practices, Optiva/ETQ systems overview",Internal,"December 10, 2025",No,Yes,Yes,No,1:1,No,6,"Steve ",Medium,Processed,Completed
Data Architecture Planning Meeting with Pat,"Architecture planning session with Patrick, discovery priorities, stakeholder alignment",Internal,"December 9, 2025",No,No,Yes,No,1:1,No,5,"Steve ",Medium,Processed,Completed
Monday Kickoff with Patrick,"Patrick intro, IT landscape overview, 2-week priorities, ERP structure (M3 cloud + on-prem), security boundaries, Product domain prioritization, Fabric greenfield status",Internal,"December 8, 2025",No,No,No,No,1:1,No,2,"Steve ",High,Processed,Completed
Data Architecture Discovery Session,"High-level data systems overview, ERP walkthrough (M3), MES operational hub, cross-system key (Batch ID), data quality challenges, systems inventory (ANV, OATES, MPD SHAR, Optiva, CPR, EAM, ETQ, ION, SSRS)",Internal,"December 8, 2025",No,Yes,Yes,No,Team Meeting,No,3,"Steve ",High,Processed,Completed
Diagram Review Session with Pat,"Architecture diagram corrections: MES scope, remove BatchWorks/PlantPAx/Adage, add FactoryTalk Batch, OATES spelling, Sphera IA naming, ANV placement, name corrections (Kerri Voiss, Matt Pennaz)",Internal,"December 10, 2025",No,No,No,No,1:1,No,7,"Steve ",Medium,Processed,Completed
"M3 Salesforce Integration Deep Dive with Data Model, Price Supports and Sync Cadence","M3 database structure overview, Metadata Publisher demo, Salesforce integration (dbAMP), M3-Salesforce sync cadence, price supports process, data source mapping",Internal,"December 11, 2025",Yes,Yes,Yes,No,Team Meeting,No,11,"Steve ",High,Processed,Completed
MES Integration and Traceability Review,"End-to-end MES flow walkthrough (Optiva → MES → M3 → QC), Batch ID traceability, plant vs corporate formulas, MES-M3 integration rates (98-99%), disposition codes, S3/S4 yield accounting, ANV recommendations",Internal,"December 11, 2025",Yes,Yes,No,No,Team Meeting,No,12,"Steve ",High,Processed,Completed
IT Systems and Reporting Infrastructure Meeting,"SSRS reporting infrastructure overview, data sources walkthrough (M3, ETQ, Optiva, Thermograph, SysAid), report organization structure, system access planning",Internal,"December 11, 2025",Yes,Yes,Yes,No,Team Meeting,No,9,"Steve ",Medium,Processed,Completed
Project Kickoff Wrap-Up Conversation,"Engagement progress check-in, communication preferences, stakeholder dynamics, working relationship with Patrick",Internal,"December 11, 2025",Yes,Yes,Yes,No,1:1,No,10,"Steve ",Medium,Processed,Completed
MDM Systems Lite Discussion,"Company structure walkthrough (NAC distributorship, Interplastic/HK, Molding Products), MES vs non-MES plants, R&D systems (DataColor, X-Rite), SDS management (Optiva + Sphera IA), quality systems (ETQ, SPC), price supports",Internal,"December 10, 2025 2:00 PM (UTC)",No,No,No,No,Team Meeting,No,8,"Steve ",Medium,Processed,Completed
Mike Spencer — CIO Architecture Meeting,"MDM strategy discussion, CIO alignment on data management initiative, stakeholder engagement planning, executive sponsorship confirmation, steering committee structure, Fabric/Purview approach, ELT introduction timing",Internal,"December 12, 2025",Yes,Yes,Yes,No,1:1,No,13,"Steve ",High,Processed,Completed
IP Corp — Stuart Langley Intro + Database Access Planning,"1. Stuart Langley intro (SA credentials setup)
2. Mike meeting recap (Dec 13)
3. Database access planning (SSL VPN vs RDP)
4. Power BI/Fabric licensing and admin roles
5. Purview status and PII policies
6. POC planning (M3 vs MES)",Internal,"December 16, 2025",Yes,Yes,Yes,No,Planning,No,14,"Steve ",High,Processed,Completed
Database Exploration with Eudias,,Internal,"December 17, 2025",Yes,Yes,No,Yes,Team Meeting,No,,"Steve ",High,Processed,Completed
Team Reorganization Discussion,"George Madison team transfer discussion, career alignment assessment (BI/data analytics), upcoming data project staffing, first visit game plan adjustment, Stuart Purview collaboration",Internal,"December 31, 2025",No,No,Yes,No,1:1,No,,"Steve ",Medium,Processed,Completed
Mike Spencer — AD Standardization & SOC 2 Planning,"Active Directory standardization initiative, ADP integration planning, SOC 2 controls alignment, infrastructure/security architecture layers, travel & expense process updates, Cybertrol SOW discussion, Fabric data strategy",Internal,"January 2, 2026",Yes,No,No,No,1:1,No,,"Steve ",High,Processed,Completed
Weekly Standup and Team Onboarding Discussion — 2026-01-05,"Weekly standup cadence, Matt Tallarico BI onboarding, Yudia Fabric training, ETQ dashboard project, Cybertrol contract review, access requests",Internal,"January 5, 2026",No,Yes,Yes,No,Standup,No,,"Steve ",Medium,Processed,Completed
Technical Systems Meeting,"Factory Talk/PLC integration challenges, Hot List status, Hazmat report updates, MP batch card issues, Hazardous ingredients report, Authentication/Entrez ID setup, ETQ BI build progress, M3 order confirmation date retrieval, Contract developer staffing",Internal,"January 7, 2026",No,No,Yes,No,Standup,No,,Patrick Stiller,Medium,Processed,Completed
Power BI Access & Project Timeline Review,"Power BI workspace access levels (viewer for Steve), workspace cleanup (remove inactive), Azure app registration IDs for XMLA endpoint, Jira project setup with Dominique, Implementation timeline review (95 weeks), AI platform selection (Azure Foundry)",Internal,"January 7, 2026",No,No,Yes,No,1:1,No,,Patrick Stiller,Medium,Processed,Completed
IT Project Portfolio Review Meeting,"IT project portfolio status review covering M3 Phase 2/3, Credit Card Integration, Factory Track, JPMC Phase 2, BOL Invoicing, AI for R&D (Citrine), CCAS UCAS, CISAID Upgrade, MDM Data Governance, Hot List Dashboard, Price Support Application, AD Cleanup, M3 Cloud Integration timeline",Internal,"January 9, 2026",No,No,Yes,No,Team Meeting,No,,"Steve ",Medium,Processed,Completed
Empty Recording — 2026-01-12,Short/empty recording — no actionable content,,"January 12, 2026 10:14 AM (UTC)",No,No,No,No,Other,No,,,Low,Processed,Cancelled
Brief Check-in Meeting — Patrick Stiller — 2026-01-12,Quick sync on upcoming meetings; Sales BI demo prep; NAC vs Manufacturing differences discussion; Purview work status with Stuart,Internal,"January 12, 2026 11:00 AM (UTC)",No,Yes,Yes,No,1:1,No,,Patrick Stiller,Medium,Processed,Completed
Meeting Planning & Coordination — Patrick Stiller — 2026-01-13,"Next week meeting planning with Robin, Mike, IT team; Fabric implementation discussion; Cybertrol meeting prep (sizing, workspace vs capacity); Team staffing (Rob in Virginia, Matt Teller)",Internal,"January 13, 2026 8:52 AM (UTC)",No,Yes,Yes,No,1:1,No,,Patrick Stiller,High,Processed,Completed
Project Scoping & Data Standardization,AI for R&D (Citrine) project scoping; Data standardization discussion; Optiva data export to Citrine; Analytical testing data challenges; R&D formulation data formats,"External, Internal","January 13, 2026 11:00 AM (UTC) → 12:30 PM",No,Yes,No,Yes,Team Meeting,No,,"Steve ",High,Processed,Completed
sysAid to Jira Automation Discussion,sysAid to Jira integration; Zapier evaluation; Microsoft Fabric data flow; Citrine meeting planning; Team dynamics and role observations,Internal,"January 13, 2026",Yes,Yes,No,No,1:1,No,,"Steve ",Medium,Processed,Completed
Pre-Onsite Planning and Scoping,"Pre-sizing workspace planning session with Patrick Stiller. Align on sizing/workspace model before Cybertrol meeting, discuss dedicated workspace vs. capacity, confirm three priority meetings, data normalization/terminology guidelines, introduce Robin (new hire with MDM interest).",Internal,"January 13, 2026 2:00 PM (UTC)",Yes,Yes,No,No,1:1,No,,"Steve ",High,Processed,Completed
MDM Meeting Planning Discussion — Patrick Stiller — 2026-01-15,"Planning MDM kickoff meeting: scheduling (Wed Dec 21, 10am-1pm with lunch break), attendee list (Matt Tallarico, Brenda Lins, Robin Virginia, Dominique, Mike Kenny, Carrie Browse + optional UDS, Tallarico Stewart, Mike Spencer), logistics (Training Center room, lunch arrangements), Steve travel arrangements (Holiday Inn Express, Uber from airport)",Internal,"January 15, 2026",No,Yes,Yes,No,Planning,Yes,,Patrick Stiller,Medium,Processed,Completed
M3 Phase Two & Credit Card Update — IT Portfolio Review — 2026-01-16,"IT Portfolio Review: M3 Phase 2 status (3 stories/27pts completed, awaiting Anne's CR approval), Credit Card Integration (waiting on SAL/SLA), Factory Track (requirements gathering, scanners shipping), Production Scheduling (Wipro walkthrough done), JPMC Phase 2 (integration testing), DOL Invoicing (QA finishing, UAT next week), AI for R&D (2 major projects, training Jan 22 & 29), App Infrastructure (legal review of MSA/DPA), AD Cleanup (object cleanup Monday), Status Reporting template rollout, Steve on-site visit next week",Internal,"January 16, 2026",Yes,Yes,No,No,Team Meeting,Yes,,Patrick Stiller,High,Processed,Completed
Internal Team Status Update — Patrick Stiller — 2026-01-27,"Recording & transcription practices, visual creation task follow-up, Ann meeting prep & background assessment, Power BI Fabric trial capacity setup (Udius), service principal configuration (Michael Thiel)",Internal,"January 27, 2026",No,No,Yes,No,1:1,No,16,"Steve ",Medium,Processed,Completed
Data Strategy & Team Status Meeting — 2026-01-27,"Microsoft Fabric implementation overview, Purview documentation layer, MDM strategy, Citrine project & R&D integration, Ann's contract & critical resource concerns, team status updates (UDS/Jason/Matt/Francis/Steve), action items",Internal,"January 27, 2026",No,No,Yes,No,Team Meeting,No,17,Patrick Stiller,High,Processed,Completed
Microsoft Fabric MVP Planning Discussion — Mike Spencer — 2026-01-28,"POC-to-MVP rebranding, Fabric capabilities overview, data governance & stewardship model, bronze/silver/gold architecture, data domain strategy, MES/M3 starting point decision, Purview parallel implementation, MVP objectives",Internal,"January 28, 2026",No,No,Yes,No,Planning,No,18,"Steve ",High,Processed,Completed
MVP Strategy Follow-Up — Foundation-First Pivot — 2026-01-28,"MVP strategy pivot to foundational bronze/silver infrastructure before selecting functional reporting domain, follow-up action items",Internal,"January 28, 2026",No,No,Yes,No,1:1,No,19,"Steve ",Medium,Processed,Completed
"@January 29, 2026 2:24 PM",,,,No,No,No,No,,No,,,,,
"@February 10, 2026 11:49 AM",,,,No,No,No,No,,No,,,,,
Discuss MDM Data Priorities — Robin Virginia & Patrick Stiller — 2026-02-13,"MDM data domain prioritization, quote-to-cash Salesforce perspective, hierarchy mapping approach, Phase 1/2 planning, data ownership challenges",Internal,"February 13, 2026",No,No,No,No,Team Meeting,Yes,15,"Steve ",High,Processed,Completed
Pentaho & M3 Cloud Architecture,,,,No,No,No,No,,No,,,,,
Dev Team Meeting,,,"February 17, 2026 4:00 PM (UTC)",No,No,No,No,,No,,,,,
"@February 17, 2026 11:26 AM",,,,No,No,No,No,,No,,,,,
"Dental Consult Appointment ",,,"February 25, 2026 10:00 AM (EST)",No,No,No,No,,No,,,,,
,,,,No,No,No,No,,No,,,,,
,,,,No,No,No,No,,No,,,,,
,,,,No,No,No,No,,No,,,,,
,,,,No,No,No,No,,No,,,,,
,,,,No,No,No,No,,No,,,,,
Marjorie’s Birthday Planning,,,,No,No,No,No,,No,,,,,
,,,,No,No,No,No,,No,,,,,
,,,,No,No,No,No,,No,,,,,
,,,,No,No,No,No,,No,,,,,